Symbol,Date,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
PFE,2013-12-31,6410000000,523000000,17765000000,1465000000,-15000000,-27310000000,-10688000000,-4146000000,-16290000000,-6509000000,-14975000000,-63000000,-7898000000,16300000000,0
PFE,2012-12-31,7611000000,481000000,17054000000,1327000000,-1050000000,-19373000000,6154000000,-1513000000,-8228000000,-6537000000,-15999000000,-2000000,7207000000,15727000000,0
PFE,2011-12-31,9026000000,419000000,20240000000,1660000000,-3282000000,-13063000000,2200000000,-6986000000,-9000000000,-6512000000,-20607000000,-29000000,1804000000,18580000000,0
PFE,2010-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFE,2009-12-31,4757000000,349000000,16587000000,-1205000000,-43123000000,12956000000,-31272000000,20120000000,0,-5548000000,14481000000,60000000,-144000000,15382000000,-0.1465
PG,2019-06-30,2824000000,515000000,15242000000,3347000000,-3945000000,-5003000000,-3578000000,-969000000,-5003000000,-7498000000,-9994000000,-88000000,1670000000,11895000000,0
PG,2018-06-30,2834000000,395000000,14867000000,3717000000,-109000000,-7004000000,-3492000000,-2873000000,-7004000000,-7310000000,-14375000000,19000000,-3000000000,11150000000,0
PG,2017-06-30,2820000000,351000000,12753000000,3384000000,-16000000,-5204000000,-5689000000,-4931000000,-5204000000,-7236000000,-8568000000,-29000000,-1533000000,9369000000,0
PG,2016-06-30,3078000000,335000000,15435000000,3314000000,-186000000,-4004000000,-5575000000,-2213000000,-4004000000,-7436000000,-9213000000,-381000000,266000000,12121000000,0
PG,2015-06-30,3134000000,337000000,14608000000,3736000000,-137000000,-4604000000,-2891000000,-3512000000,-4604000000,-7287000000,-13019000000,-411000000,-1713000000,10872000000,0
PG,2014-06-30,3141000000,360000000,13958000000,3848000000,-24000000,-6005000000,-4068000000,-4095000000,-6005000000,-6911000000,-7279000000,39000000,2611000000,10110000000,0
PG,2013-06-30,2982000000,346000000,14873000000,4008000000,-1145000000,-5986000000,-6291000000,-3752000000,-5986000000,-6519000000,-7071000000,4000000,1511000000,10865000000,0
PG,2012-06-30,3204000000,377000000,13284000000,3964000000,-134000000,-4024000000,-1206000000,-2549000000,-4024000000,-6139000000,-10410000000,-113000000,1668000000,9320000000,0
PG,2011-06-30,2838000000,414000000,13231000000,3306000000,-474000000,-7039000000,-3482000000,-206000000,-7039000000,-5767000000,-10023000000,163000000,-111000000,9925000000,0
PG,2010-06-30,3108000000,453000000,16072000000,3067000000,0,-6004000000,-597000000,-8546000000,-6004000000,-5458000000,-17255000000,-122000000,-1902000000,13005000000,0
PG,2009-06-30,3082000000,516000000,14919000000,-3238000000,-368000000,166000000,-2353000000,-81000000,-5689000000,-5044000000,-10814000000,-284000000,1468000000,11681000000,-0.2161
PM,2019-12-31,964000000,54000000,10090000000,852000000,0,0,-1811000000,-3998000000,-6861000000,-7161000000,-8061000000,27000000,245000000,9238000000,0
PM,2018-12-31,989000000,24000000,9478000000,1436000000,0,0,-998000000,-2484000000,-6593000000,-6885000000,-9651000000,-685000000,-1856000000,8042000000,0
PM,2017-12-31,875000000,37000000,8912000000,1548000000,0,0,-3014000000,-2551000000,0,-6520000000,-2769000000,1079000000,4208000000,7364000000,0
PM,2016-12-31,743000000,27000000,8077000000,1172000000,0,0,-968000000,-2393000000,0,-6378000000,-5413000000,-874000000,822000000,6905000000,0
PM,2015-12-31,754000000,166000000,7865000000,960000000,0,-48000000,-708000000,-1229000000,-48000000,-6250000000,-4736000000,-686000000,1735000000,6905000000,0
PM,2014-12-31,889000000,210000000,7739000000,1153000000,-110000000,-3833000000,-996000000,-1240000000,-3833000000,-6035000000,-6839000000,-376000000,-472000000,6586000000,0
PM,2013-12-31,882000000,220000000,10135000000,1200000000,0,-5963000000,-2749000000,-2738000000,-5963000000,-5720000000,-8215000000,-69000000,-829000000,8935000000,0
PM,2012-12-31,898000000,242000000,9421000000,1056000000,0,-6525000000,-992000000,-2237000000,-6524000000,-5404000000,-8100000000,104000000,433000000,8365000000,0
PM,2011-12-31,993000000,162000000,10529000000,897000000,-80000000,-5372000000,-1032000000,-1483000000,-5297000000,-4788000000,-8338000000,-312000000,847000000,9632000000,0
PM,2010-12-31,932000000,127000000,9437000000,713000000,-83000000,-5030000000,-710000000,-183000000,-4801000000,-4423000000,-8578000000,14000000,163000000,8724000000,0
PM,2009-12-31,853000000,0,7884000000,-715000000,-429000000,0,-1098000000,3132000000,-5448000000,-4327000000,-6911000000,134000000,9000000,7169000000,-0.1512Symbol
PYPL,2019-12-31,912000000,1021000000,4561000000,704000000,-70000000,-4403000000,-5733000000,-2516000000,-1262000000,0,3688000000,-6000000,7349000000,3857000000,0
PYPL,2018-12-31,776000000,853000000,5483000000,823000000,-2124000000,-4003000000,840000000,-1115000000,-3376000000,0,-1262000000,-113000000,7575000000,4660000000,0
PYPL,2017-12-31,805000000,733000000,2531000000,667000000,-323000000,-1974000000,-5358000000,-820000000,-862000000,0,4084000000,36000000,1293000000,1864000000,0
PYPL,2016-12-31,724000000,438000000,3158000000,669000000,-19000000,-3607000000,-4999000000,21000000,-886000000,0,2038000000,0,197000000,2489000000,0
PYPL,2015-12-31,608000000,346000000,2546000000,722000000,-1225000000,-4224000000,-6389000000,862000000,-1318000000,0,3079000000,-44000000,-808000000,1824000000,0
PYPL,2014-12-31,516000000,258000000,2220000000,-492000000,-364000000,-2001000000,-2881000000,-21000000,0,0,1284000000,-26000000,597000000,1728000000,0.169
PYPL,2013-12-31,453000000,177000000,1993000000,-391000000,-731000000,-599000000,-1721000000,-133000000,0,0,-85000000,3000000,190000000,1602000000,0.169
PYPL,2012-12-31,382000000,148000000,1565000000,-511000000,-22000000,-825000000,-1526000000,20000000,0,0,-210000000,-1000000,-172000000,1054000000,0.169
T,2019-12-31,37804000000,819000000,48668000000,19435000000,-1809000000,-2417000000,-16690000000,-27592000000,-2417000000,-14888000000,-25083000000,0,6895000000,29233000000,0
T,2018-12-31,32202000000,463000000,43602000000,20758000000,-43309000000,-609000000,-63145000000,-52643000000,-609000000,-13410000000,-25989000000,0,-45532000000,22844000000,0
T,2017-12-31,24387000000,480000000,39151000000,20647000000,1123000000,-463000000,-20371000000,-12339000000,-463000000,-12038000000,25930000000,0,44710000000,18504000000,0
T,2016-12-31,25847000000,653000000,39344000000,21516000000,-2959000000,-512000000,-24215000000,-10823000000,-512000000,-11797000000,-14462000000,0,667000000,17828000000,0
T,2015-12-31,22016000000,451000000,35880000000,19218000000,-30759000000,-269000000,-49144000000,-10042000000,-269000000,-10200000000,9782000000,0,-3482000000,16662000000,0
T,2014-12-31,18273000000,318000000,31338000000,21199000000,-3141000000,-1617000000,-18337000000,-10400000000,-1617000000,-9552000000,-7737000000,0,5264000000,10139000000,0
T,2014-03-31,0,0,0,0,0,0,3611000000,0,-3611000000,0,0,0,3611000000,0,0
T,2013-12-31,18395000000,458000000,34796000000,20944000000,-4113000000,-13028000000,-23124000000,-7698000000,-13028000000,-9696000000,-13201000000,0,-1529000000,13852000000,0
T,2012-12-31,18143000000,511000000,39176000000,19465000000,-828000000,0,-19680000000,-8733000000,-4868000000,-10241000000,-17673000000,0,1823000000,19711000000,0
T,2011-12-31,18377000000,0,34648000000,20110000000,-2368000000,0,-21250000000,-7574000000,-3185000000,-10172000000,-11650000000,0,1748000000,14538000000,0
T,2010-12-31,19379000000,0,35222000000,-19530000000,-1076000000,-100000000,-21449000000,-5467000000,50000000,-9916000000,-15849000000,0,-2076000000,15692000000,-0.3728
T,2009-12-31,19515000000,0,34405000000,-16554000000,-696000000,55000000,-17883000000,-4401000000,28000000,-9670000000,-14508000000,0,2014000000,17851000000,-0.4132
TMO,2019-12-31,2274000000,181000000,4973000000,926000000,-1843000000,-1500000000,-1487000000,-6360000000,-1500000000,-297000000,-3118000000,-63000000,305000000,4047000000,0
TMO,2018-12-31,2267000000,181000000,4543000000,758000000,-536000000,-500000000,-1550000000,-2052000000,-500000000,-266000000,-2237000000,-297000000,756000000,3785000000,0
TMO,2017-12-31,2033000000,159000000,4005000000,508000000,-7226000000,-750000000,-7729000000,-3299000000,940000000,-237000000,3854000000,420000000,550000000,3497000000,0
TMO,2016-12-31,1758000000,133500000,3156300000,444400000,-5188400000,-1250000000,-5532100000,-4334200000,-1250000000,-238400000,2860600000,-150700000,334100000,2711900000,0
TMO,2015-12-31,1688200000,125000000,2816900000,422900000,-694600000,-500000000,-1087400000,-3780200000,-500000000,-240600000,-2491300000,-129600000,-891400000,2394000000,0
TMO,2014-12-31,1684800000,117100000,2619600000,427600000,-13060100000,0,-11898200000,-4392800000,2942000000,-234800000,4796100000,-115500000,-4482500000,2192000000,0
TMO,2013-12-31,999900000,90900000,2010700000,282400000,-11400000,-89800000,-300300000,11000000,140600000,-216200000,3310000000,-37000000,5020400000,1728300000,0
TMO,2012-12-31,983700000,78200000,2039500000,315100000,-1083400000,-1150000000,-1287100000,-378500000,-895900000,-142200000,-917700000,38700000,-165300000,1724400000,0
TMO,2011-12-31,864900000,80200000,1691000000,266500000,-5698600000,-1337500000,-5142400000,-462600000,-1179400000,0,3550600000,-200000,99200000,1424500000,0
TMO,2010-12-31,779100000,83100000,1497800000,265500000,-606200000,-1012500000,-858900000,-1098300000,-935200000,0,-1295100000,9200000,-647000000,1232300000,0
TMO,2009-12-31,762900000,64400000,1659200000,-186600000,-632900000,1200000,-829500000,-199900000,-360200000,0,-557500000,11400000,283600000,1472600000,-0.0313
TXN,2018-12-31,954000000,232000000,7189000000,1131000000,0,-5100000000,-78000000,-500000000,-5100000000,-2555000000,-6329000000,0,782000000,6058000000,0
TXN,2017-12-31,904000000,242000000,5363000000,695000000,0,-2556000000,-1127000000,-625000000,-2556000000,-2104000000,-3734000000,0,502000000,4668000000,0
TXN,2016-12-31,955000000,252000000,4614000000,531000000,0,-2132000000,-650000000,-1000000000,-2132000000,-1646000000,-3810000000,0,154000000,4083000000,0
TXN,2015-12-31,1133000000,286000000,4268000000,551000000,0,-2741000000,-302000000,-1000000000,-2741000000,-1444000000,-4165000000,0,-199000000,3717000000,0
TXN,2014-12-31,1230000000,277000000,3892000000,385000000,0,-2831000000,-377000000,-1000000000,-2831000000,-1323000000,-3943000000,0,-428000000,3507000000,0
TXN,2013-12-31,1297000000,287000000,3384000000,412000000,0,-2868000000,-3000000,0,-2868000000,-1175000000,-3170000000,0,211000000,2972000000,0
TXN,2012-12-31,1299000000,263000000,3414000000,495000000,0,-1800000000,-1039000000,0,-1800000000,-819000000,-1951000000,0,424000000,2919000000,0
TXN,2011-12-31,1015000000,269000000,3256000000,816000000,-5425000000,0,-6172000000,0,-992000000,-644000000,2589000000,0,-327000000,2440000000,0
TXN,2010-12-31,913000000,190000000,3820000000,1199000000,-199000000,0,-1057000000,0,-1319000000,-592000000,-2626000000,0,137000000,2621000000,0
TXN,2009-12-31,925000000,186000000,2643000000,-753000000,-158000000,-188000000,-1096000000,0,-845000000,-567000000,-1411000000,0,136000000,1890000000,0.0896
UNH,2019-12-31,2720000000,697000000,18463000000,2071000000,-8343000000,-16540000000,-12699000000,-1750000000,-4463000000,-3932000000,-5625000000,-20000000,119000000,16392000000,0
UNH,2018-12-31,2428000000,638000000,15713000000,2063000000,-5997000000,-12240000000,-12385000000,-2600000000,-3662000000,-3320000000,-4365000000,-78000000,-1115000000,13650000000,0
UNH,2017-12-31,2245000000,597000000,13596000000,2023000000,-2131000000,-10442000000,-8599000000,-4398000000,-812000000,-2773000000,-3441000000,-5000000,1551000000,11573000000,0
UNH,2016-12-31,2055000000,485000000,9795000000,1705000000,-1760000000,-14546000000,-9355000000,-2596000000,-851000000,-2261000000,-1011000000,78000000,-493000000,8090000000,0
UNH,2015-12-31,1693000000,406000000,9740000000,1556000000,-16164000000,-7785000000,-18395000000,-1041000000,-798000000,-1786000000,12239000000,-156000000,3428000000,8184000000,0
UNH,2014-12-31,1478000000,364000000,8051000000,1525000000,-1923000000,-10910000000,-2534000000,-812000000,-3546000000,-1362000000,-5293000000,-5000000,219000000,6526000000,0
UNH,2013-12-31,1375000000,331000000,6991000000,1307000000,-362000000,1689000000,-3175000000,-1609000000,-2572000000,-1056000000,-4946000000,-86000000,-1130000000,5684000000,0
UNH,2012-12-31,1309000000,421000000,7155000000,1070000000,-6280000000,-8177000000,-8649000000,-986000000,-2006000000,-820000000,471000000,0,-1023000000,6085000000,0
UNH,2011-12-31,1124000000,401000000,6968000000,1067000000,-1844000000,-8638000000,-4172000000,-955000000,-2613000000,-651000000,-2490000000,0,306000000,5901000000,0
UNH,2010-12-31,1064000000,326000000,6273000000,878000000,-2323000000,-7267000000,-5339000000,-1583000000,-2245000000,-449000000,-1611000000,0,-677000000,5395000000,0
UNH,2009-12-31,991000000,334000000,5625000000,-739000000,-486000000,249000000,-976000000,-1427000000,-1519000000,-36000000,-2275000000,0,2374000000,4886000000,0.0635
V,2019-09-30,6829000000,407000000,12784000000,756000000,-699000000,-11749000000,-591000000,0,-8607000000,-2269000000,-12061000000,-277000000,-145000000,12028000000,0
V,2018-09-30,6104000000,327000000,12713000000,718000000,-196000000,-7240000000,-3084000000,-1750000000,-7192000000,-1918000000,-11240000000,-101000000,-1712000000,11995000000,0
V,2017-09-30,5121000000,235000000,9208000000,707000000,-302000000,-6933000000,735000000,0,-6891000000,-1579000000,-5924000000,236000000,4255000000,8501000000,0
V,2016-09-30,3911000000,221000000,5574000000,523000000,-9082000000,-6991000000,-10916000000,0,-6987000000,-1350000000,7477000000,-34000000,2101000000,5051000000,0
V,2015-09-30,3355000000,187000000,6584000000,414000000,-93000000,-2923000000,-1435000000,0,-2910000000,-1177000000,-3603000000,1000000,1547000000,6170000000,0
V,2014-09-30,3027000000,172000000,7205000000,553000000,-149000000,-4127000000,-941000000,0,-4118000000,-1006000000,-6478000000,-1000000,-215000000,6652000000,0
V,2013-09-30,2718000000,179000000,3022000000,471000000,0,-5334000000,-1164000000,0,-5365000000,-864000000,-1746000000,0,112000000,2551000000,0
V,2012-09-30,2488000000,147000000,5009000000,376000000,-3000000,-700000000,-2414000000,0,-710000000,-595000000,-2655000000,7000000,-53000000,4633000000,0
V,2011-09-30,2168000000,154000000,3872000000,353000000,-268000000,-1921000000,-2299000000,-44000000,-2024000000,-423000000,-3304000000,-9000000,-1740000000,3519000000,0
V,2010-09-30,1825000000,131000000,2691000000,241000000,-1805000000,-1008000000,-1904000000,-12000000,-1000000000,-368000000,-1542000000,5000000,-750000000,2450000000,0
V,2009-09-30,226000000,108000000,558000000,-306000000,0,2136000000,1830000000,-54000000,-2614000000,-318000000,-2751000000,1000000,-362000000,252000000,0.1092
VZ,2018-12-31,17403000000,700000000,34339000000,18087000000,-230000000,0,-17934000000,-14558000000,-2745000000,-9772000000,-15377000000,0,1028000000,16252000000,0
VZ,2017-12-31,16954000000,400000000,25305000000,17830000000,-5928000000,0,-19372000000,-24067000000,0,-9472000000,-6734000000,0,-801000000,7475000000,0
VZ,2016-12-31,15928000000,400000000,22715000000,17593000000,-3765000000,0,-10983000000,-19010000000,-2877000000,-9262000000,-13322000000,0,-1590000000,5122000000,0
VZ,2015-12-31,16017000000,300000000,38930000000,27717000000,-3545000000,-5134000000,-30043000000,-8996000000,-5094000000,-8538000000,-15015000000,0,-6128000000,11213000000,0
VZ,2014-12-31,16533000000,300000000,30631000000,17545000000,0,0,-15856000000,-17194000000,-10564000000,-7803000000,-57705000000,0,-42930000000,13086000000,0
VZ,2013-12-31,16606000000,400000000,38818000000,17184000000,0,-153000000,-14833000000,-8021000000,-68000000,-5936000000,26450000000,0,50435000000,21634000000,0
VZ,2012-12-31,16460000000,700000000,31486000000,20110000000,0,0,-20502000000,-4966000000,-2778000000,-5230000000,-21253000000,0,-10269000000,11376000000,0
VZ,2011-12-31,16496000000,500000000,29780000000,16244000000,0,0,-17250000000,-13733000000,-13121000000,-5555000000,-5836000000,0,6694000000,13536000000,0
VZ,2010-12-31,16405000000,500000000,33363000000,16458000000,0,0,-15054000000,-7039000000,-6668000000,-5412000000,-13650000000,0,4659000000,16905000000,0
VZ,2009-12-31,16534000000,0,31390000000,-16872000000,-5958000000,84000000,-23156000000,-8872000000,0,-5271000000,-16007000000,0,-7773000000,14518000000,-0.677
WFC,2019-12-31,7075000000,1217000000,6730000000,0,0,-25620000000,-29631000000,-60996000000,-24153000000,-8198000000,-9136000000,0,-32037000000,6730000000,0
WFC,2018-12-31,5593000000,1022000000,36073000000,0,-10000000,-36655000000,-7754000000,-40565000000,-20001000000,-7692000000,-70979000000,0,-42660000000,36073000000,0
WFC,2017-12-31,5406000000,849000000,18722000000,0,-320000000,35802000000,-5164000000,-80802000000,-8697000000,-7480000000,-10920000000,0,2638000000,18722000000,0
WFC,2016-12-31,4970000000,779000000,169000000,0,-30584000000,32989000000,-1.22119E+11,-34462000000,-6701000000,-7472000000,1.23568E+11,0,1618000000,169000000,0
WFC,2015-12-31,3288000000,844000000,14772000000,0,-3000000,25215000000,-1.07235E+11,-27333000000,-6971000000,-7400000000,92003000000,0,-460000000,14772000000,0
WFC,2014-12-31,2515000000,858000000,17529000000,0,-174000000,27843000000,-1.2838E+11,-15829000000,-7574000000,-6908000000,1.10503E+11,0,-348000000,17529000000,0
WFC,2013-12-31,3293000000,725000000,57641000000,0,0,45381000000,-1.53492E+11,-25423000000,-3132000000,-5953000000,93910000000,0,-1941000000,57641000000,0
WFC,2012-12-31,2807000000,560000000,58540000000,0,-4322000000,55794000000,-1.3989E+11,-28093000000,-1827000000,-4565000000,83770000000,0,2420000000,58540000000,0
WFC,2011-12-31,2208000000,529000000,13665000000,0,-353000000,50202000000,-35044000000,-50555000000,-1120000000,-2537000000,24775000000,0,3396000000,13665000000,0
WFC,2010-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WFC,2009-12-31,2841000000,227000000,28613000000,0,-138000000,64608000000,71785000000,-126972000000,21756000000,-4303000000,-97081000000,0,3317000000,28613000000,-0.2712
WMT,2020-01-31,10987000000,854000000,25255000000,10705000000,-56000000,-5717000000,-9128000000,-1907000000,-5717000000,-6048000000,-14299000000,-69000000,1759000000,14550000000,0
WMT,2019-01-31,10678000000,773000000,27753000000,10344000000,-14656000000,-7410000000,-24036000000,-3784000000,-7410000000,-6102000000,-2537000000,-438000000,742000000,17409000000,0
WMT,2018-01-31,10529000000,626000000,28337000000,10051000000,-375000000,-8296000000,-9060000000,-13061000000,-8296000000,-6124000000,-19875000000,487000000,-111000000,18286000000,0
WMT,2017-01-31,10080000000,596000000,31530000000,10619000000,-2463000000,-8298000000,-13987000000,-2055000000,-8298000000,-6216000000,-18929000000,-452000000,-1838000000,20911000000,0
WMT,2016-01-31,9454000000,448000000,27389000000,11477000000,0,-4112000000,-10675000000,-4432000000,-4112000000,-6294000000,-16122000000,-1022000000,-430000000,15912000000,0
WMT,2015-01-31,9173000000,462000000,28564000000,12174000000,0,-1015000000,-11125000000,-3904000000,-1015000000,-6185000000,-15071000000,-514000000,1854000000,16390000000,0
WMT,2014-01-31,8870000000,388000000,23257000000,13115000000,-15000000,-6683000000,-12740000000,-4968000000,-6683000000,-6139000000,-11017000000,-442000000,-500000000,10142000000,0
WMT,2013-01-31,8501000000,378000000,25591000000,12898000000,-316000000,-7600000000,-12388000000,-1478000000,-7600000000,-5361000000,-11972000000,223000000,1231000000,12693000000,0
WMT,2012-01-31,8130000000,0,24255000000,13510000000,-3548000000,-6298000000,-16609000000,-4584000000,-6298000000,-5048000000,-8458000000,-33000000,-845000000,10745000000,0
WMT,2011-01-31,7641000000,0,23643000000,12699000000,-202000000,-14776000000,-12193000000,-4080000000,-14776000000,-4437000000,-12028000000,66000000,-512000000,10944000000,0
WMT,2010-01-31,7157000000,0,26249000000,12184000000,0,-7276000000,-11620000000,-6033000000,-7276000000,-4217000000,-14191000000,194000000,632000000,14065000000,0
XOM,2019-12-31,18998000000,741000000,29716000000,24361000000,0,-4499000000,-23084000000,-1000000,-594000000,-14652000000,-6618000000,33000000,47000000,5355000000,0
XOM,2018-12-31,18745000000,774000000,36014000000,19574000000,0,-2607000000,-16446000000,-4533000000,-626000000,-13798000000,-19446000000,-257000000,-135000000,16440000000,0
XOM,2017-12-31,19893000000,856000000,30066000000,15402000000,0,-6254000000,-15730000000,-7205000000,-747000000,-13001000000,-15130000000,314000000,-480000000,14664000000,0
XOM,2016-12-31,22308000000,880000000,22082000000,16163000000,0,-2394000000,-12403000000,7145000000,-977000000,-12453000000,-9293000000,-434000000,-48000000,5919000000,0
XOM,2015-12-31,18048000000,855000000,30344000000,26490000000,0,-4646000000,-23824000000,-26000000,-4039000000,-12090000000,-7037000000,-394000000,-911000000,3854000000,0
XOM,2014-12-31,17297000000,831000000,45116000000,32952000000,0,-14814000000,-26975000000,-69000000,-13183000000,-11568000000,-17888000000,-281000000,-28000000,12164000000,0
XOM,2013-12-31,17182000000,854000000,44914000000,33669000000,0,-20433000000,-34201000000,-13000000,-15998000000,-10875000000,-15476000000,-175000000,-4938000000,11245000000,0
XOM,2012-12-31,15888000000,854000000,56170000000,34271000000,0,-22040000000,-25601000000,-147000000,-21068000000,-10092000000,-33868000000,217000000,-3082000000,21899000000,0
XOM,2011-12-31,15583000000,793000000,55345000000,30975000000,0,-25721000000,-22165000000,-266000000,-22055000000,-9020000000,-28256000000,-85000000,4839000000,24370000000,0
XOM,2010-12-31,0,0,0,26871000000,0,-1099000000,-24204000000,-6224000000,-13093000000,-8948000000,-26924000000,-153000000,-2868000000,-26871000000,0
XOM,2009-12-31,11917000000,0,28438000000,-22491000000,-1207000000,555000000,-22419000000,-153000000,-18951000000,-8023000000,-27283000000,520000000,-20744000000,5947000000,0.0039